,category,text
0,dvd,Great visual of the battle where my great grandfather fought with the 6th SC.  Entertaining and educational
1,dvd,"There is no questioning this film is done very well. That said, it should be pointed out that it may not be for everyone. If you are not a fan of cliches, stay away from this. There are TONS of monologues that go on for long periods of time with epic music in the background, and maybe not everyone can handle that. Most of the performances are incredible, my favorite happens to be Jeff Daniels. One performance that doesn't do it for me is Martin Sheen. He shares a lot of scenes with Tom Berenger and it seems like Berenger is the one keeping those scenes afloat. C. Thomas Howell has a steady part but you won't recognize him as the kid from the Outsiders. Great battle scenes, especially the big one in the open field at the end."
2,dvd,"After the heart-rending nobility of Abraham Lincoln's verbal tribute to Gettysburg's fallen, there is not much else that could do those men justice.Yet GETTYSBURG does so.This 1993 film, second in a civil war trilogy that begins with GODS AND GENERALS and concludes with LAST FULL MEASURE is worlds beyond its predecessor in cinematographic and dramatic prowess. To put it as succinctly as possible, this is a profoundly moving four hours of personalized history.A film like this helps us to recall that we are not yet one hundred fifty years from southeastern Pennyslvania's momentary appearance as a killing field. In America's most costly war, this was its linchpin battle.Tom Berenger and Martin Sheen turn in understated and powerful renderings of Confederate generals. Sheen's Robert E. Lee carries a mountain's weight of burden on his grieving shoulders even as he makes the decisions that will send still more Virginia gentlemen and Texas cowboys to their deaths. Jeff Daniels far outshines his earlier representation of Maine's Coronel Chamberlain, the six-times wounded college professor who would finish his working life as the president of Bowdoin College.The panoramic battle scenes provided legions of Civil War reenactors with their glorious opportunity, one that - with the exception of a handful of volunteers who couldn't help grinning while they were being shot down - seized the day with remarkable poignance.This one is for seeing again and again, remembering, and bowing one's head against the awful fact that nations are too often born in blood"
3,dvd,"If you're into the Civil War, this is the movie for you.  It tells the battle from both sides.  It follows the activities of both sides.   This is a must have for fans of the Civil War"
4,dvd,"This is one of the best movie about the civil war I've ever seen. It is the most instructive, realistic, with very good actors playing in it ! For once, just like in ""Gods and Generals"", the movie is more focused on the southern side, which is not very often the case.I am a fan of this part of the U.S. history, and especially of the South, and I was really captivated by this movie from the beginning to the end"
5,dvd,"Almost a complete scope of the battle of the size of the battle in numbers and cause. Would have like to have heard Lincoln'sAddress at the end for now it is a rememberance of the dead ofboth sides of the battle that, I think, unitesw  us now intothis great nation"
6,dvd,"This 1993 movie, based on Michael Shaara's book The Killer Angels, is over four hours long, but it uses that time well to document this critical Civil War battle.  I used the word `document' on purpose because this movie is accurate to the point of being a documentary.  It was even filmed at the Gettysburg National Military Park.  When you see the fight for Little Round Top or Pickett's Charge, or another fight, you are seeing the events much as they happened where they happened.    Thousands of civil war re-enactors play the everyday soldiers you see in the background and in the grand charges of this battle.  These amateur enthusiasts put their heart into this movie and it shows.     As a high school history teacher, I was timing certain parts of the movie to show in class.  When I timed Pickett's Charge, I realized it is shown in real time.  Those Confederate soldiers charged into Union gunfire for 28 minutes and you see every moment in this movie.Read The Killer Angels and then see this outstanding movie.Kyle Prat"
7,dvd,"Despite the chintzy, unconvincing facial hair (Jeff Daniels' being the exception); Martin Sheen's too-gentlemanly interpretation of Gen. Lee's accent (and his beard); obvious  saccharine soliloquies about the higher purpose for fighting the war; generalized (and largely inaccurate) interpretations of the underlying history of the war; and hopelessly, ridiculously, wildly off-the-mark attempts atNew England accents, the film still works.I understand that to get a film produced and distributed, it is often necessary to have recognizable names in the cast.  But an unknown who looks more like General Lee than Martin Sheen would have been a better choice.  And C. Thomas Howell's performance--well, let's just say that his glued-on beard was more convincing than his acting.  Jeff Daniels, however, does an excellent job, in large part because he doesn't try to convince you he's from New England and consequently does not come off like Cliff from Cheers, using every stereotype associated with nasal 'r'-dropping.  Instead of focusing on the so-called nasality of  the NE accent (think of Sheen in The Missiles of Octobah), Daniels allows the viewer to suspend disbelief.  But then, here comes CT Howell again to slap you across the face and remind you that Sheen and Kevin Costner aren't the only actors who should have appeared as New Englanders in an Ed Wood production.I think the story works because there's enough commitment to historical military fact to make it believable.  The battle scenes probably should have been more visually graphic to evoke the horror of the battle, but the movie makers either didn't have the budget for gore (maybe it was spent on the obviously fake beards) or decided to err on the side of forbearance.  If Gettysburg had been made 8-10 years later, it might have benefited from the newer style of violence-depiction, as in Saving Private Ryan, Thin Red Line, or Gladiator.  It falls a bit short of that, however.Finally, it should be noted that the producers/director seem to be operating on a rather simplistic view of the war's historical underpinnings, opting to represent the northern point of view as one united behind the idea of freeing the slaves. Anyone who knows about the Boston busing riots of the 1970s will understand that not all of the north is steeped in racial generosity and brotherhood. Very few who fought on the side of the blue fought because they believed in the abolition of slavery.  They fought to preserve the Union, which is a very different concept.  Abolition of slavery happened to be the issue that forced the South's hand, but it was not the sole cause of the war.  The movie dumbs this down a bit, making the message more like what you'd find in a 5th-grade text book.The battle at Gettysburg was certainly pivotal, but viewers should remember that it did not end the Civil War.  The north absolutely needed to win it, but Lee continued to cause the North fits for almost 2 years after Gettysburg.  C. Thomas Howell will continue to cause me fits every time I think of this movie.Still and all, the film is very watchable.  And due credit should be given to the re-enactors, arguably the greatest source of credibility for the film"
8,dvd,"Alright, Im sure you already know what its about, if not, then just read above, because im here, trying to tell you why you should watch it.I know, Ill get this out of the way fast. Just watch this movie for what it is, not what you want it to be! People argue that its not scary, or that the twist ending was horrible. Its not a horror movie, its not suposed to scare you. Its a love story. And listen to this: the twist ending?, its not suposed to be a surprise, its suposed form this whole movie, its suposed to define who these characters are, and what they are trying to do. This is a story of love, and of hope and innocence.I just dont see how people who are fans of Shyamalans other movies can say ""I hated the ending, very predictable"" because, fans, you know what Shyamalan does, you know from seeing Signs that hes a deep writer, that he gives much more meaning than what you think its going to be.So please, if the only thing thats holding you back from seeing this is the critics, or your friends, then see it anyway. Why would you let other peoples opinions rule what you like, or dont like? Sure, many didnt like it, some didnt even understand it, but that doesnt mean you wont like it. You just have to try it out.If you havent had the end ruined for you, thats even better, because you still have this whole movie to look forward to, and if you dont enjoy it, than fine, but atleast you can say yourself that you didnt like it. I know too many people who havent seen it because it got bad reviews.If you enjoy a good love story, or even an art-sy type of suspence movie, then im sure you will enjoy it. But its not for everyone. Im sure, if you get bored easily, or if you dont have an imagination (this is a MUST HAVE for any Shyamalan film)And then theres the soundtrack, which deserves 5 stars all by itself because its so magical. Shyamalan is one of the few who knows how to use music for film, who can make the music be a character in the movie. But before I leave, trust me, dont watch this thinking its a horror movie, because its not. Thats the worst mistake you could make aboiut this film"
9,dvd,"I guess the reason I enjoyed the movie so much was because I went into the theatre expecting a good drama. And that's exactly what I got. The story was very interesting to me. I enjoyed the relationships between the villagers, especially Lucious and Ivy.The scary moments just added to the drama. Having grown up in the country, I know how scary the woods can be. I loved all the twists to the story.The only thing I didn't like was William Hurt's performance. It was too hammy. I think if this critical role had been cast by another actor, the movie would've moved along at a better pace.But still a great movie"
10,dvd,"I once thought I was almost alone in liking this creepy and fun 2004 film, but the fact is it seems to be growing on people. It just took a while for those who emerged from theaters declaring The Village a two-hour life support system for a twist ending to appreciate that there's a lot more to this movie than its concluding surprise. (No, I won't give it away, even if by now nearly everyone surely knows what that surprise is, but if you don't know, be careful about reading any farther.) What I grasped about The Village, aside from embracing a story I liked for itself, and for its ending which I didn't see coming, was a message of optimism that said it is possible for people to escape the boundaries and rules of an oppressive time and place, and recreate reality to suit their preferences. Think about that for a minute. People go scatterbrained trying to elude the dictates of our culture today, for instance, with its violence, its corporate intrusions, its governmental omnipresence, and here we saw a successful  experiment in utopian existence set in 1890, and I found that wonderful. I also loved the scenery, the muted color schemes, the attention to period detail and to the agrarian life. The performances of Bryce Dallas Howard, Joachim Phoenix, and William Hurt were also highly underrated. Never has a stretch of bare woods surrounding a meadow looked so foreboding. Never has the monster in the fairy tale been so close at hand. I liked The Village from the first day I saw it, and continue to think well of it even now"
11,dvd,"The only good thing in this movie was Ms. Howard's performance, she is innocent and believable.   I can't understand how good actors like Weaver, Hurt, and Phoenix would let themselves be wasted on this. The 'plain' dialogue among the 'elders' is painfully numbing, choppy, and stilted.  And the directing drove me crazy, especially since M. Night...insists on filming group scenes as is he was just passing through, or following them without ever bothering with close-ups. These scenes make me feel like they were done by an amateur filmmaker with a his first video camera.   If you like the back of William Hurt's head, you'll get plenty of it in this film, the camera seems to avoid his face like the plague; which is too bad, since when he finally has a good speech, we are deprived of the anger I imagine was in his eyes.  I agree with others, I would have worked better as a 30 minute Twilight Zone episode.  Rent it first before you buy, and save some money for a classic thriller, like Psycho"
12,dvd,"This movie is the most boring, uninteresting piece of garbage I have everwasted my money on. The plot is stupid, the characters are dull and insipid, and the whole movie leaves you asking, as the credits run, ""So What?"" Don't waste your money!"
13,dvd,"if you are expecting to be scared out of your pants - don't - this movie is not scary but more suspenseful. it is a great movie, with awesome twists and anyone who said that they figured out this movie is a liar. this movie is perfectly written, acted and directed. see this movie"
14,dvd,"It's strange; this just came on FX, and once it was on, I was compelled to stay up and watch the whole thing, even though I've already seen it (in the theatres during its initial release run), and it cost me sleep to watch it all the way through this time around. Even for all of the bad press that this movie got, and all of the disgruntled viewers who were expecting another horror, this truly is one of my favorites from M. Night Shyamalan - this, along with ""Lady In The Water"" (another MUST have for me), is a movie that I feel compelled to add to my collection. As the other reviewers state, it's not truly scary, but more a suspenseful film, as I actually find ALL of Shyamalan's movies to be. In my humble opinion, he's not trying to provide movies best-suited to Halloween scare-fest marathons, but movies that are suspenseful and thought-provoking. As annoying as some of his ticks may be to some viewers, there's thought put into each of his films, unlike stupid wastes of celluloid like ""Hostel"" and those damned ""Saw"" movies (enough, already)! At least after seeing this in the theatre, I felt that I'd gotten my money's worth for the ticket price, and this is definitely a movie that I feel I could watch repeatedly. In my opinion, the social commentary and romantic aspects only add to the viewing experience provided by this film. Don't buy this if you're looking for a horror like ""The Exorcist"" - if that's what you want, buy and watch ""The Exorcist"". If you're looking for a film with twists and turns that tie in to a somewhat deeper meaning, and will have you nodding your head in agreement with the way things play out on screen, buy this movie. Even if you know what happens in the end, I'm sure you'll find yourself wanting to watch it again over time"
15,dvd,I knew the ending within the first 10 minutes.  M. Night Shamalamadingdong disappointed me and should go back to his job at Denny's
16,dvd,"It was a delight to see this childhood memory again, and in pristine quality with color (if you prefer it in original black  white, turn the color down on your tv set). It brings this 60s series to a whole new generation of fans (my nephews  nieces wouldn't watch it in b)"
17,dvd,"I'm not reviewing the show itself, but rather the colorization. (If you've seen the show, you know whether you like it; if you haven't seen it, you can read the many other reviews.) The show is lighthearted fun and not to be taken seriously, but if I'm bothered by the colorization, it must be really bad. Unless you like Jeannie with orange hair and people who look like they've drunk a bottle of ink, skip this version and get the BW set.  Then you won't be constantly distracted by weird and wrong colors"
18,dvd,"There was something special about the first season.And this has been colorized,and it realy is great the way they did that.There was a few moments you could tell it was a bit fake,but accross the board it realy has been a great effort to get it looking like this.And if you dont like the color version,simply turn off the color on your TV!The pilot episode is a personal favorite of mine how it got things started.Especially that bit when she came out of Toney's room with that long shirt!Oh those thigh's!Amazingly Barbera Eden got pregnant during this season,and had to wear an extra veil to cover up her pregnancy.I have been in love with that woman since i was about 5"
19,dvd," Like ""lighten up already 2"" said in the review of this DVD, I want historical accruacy. I wrote my opinions of the colorized versions of vintage B shows in a review of Bewitched the Complete Second Season, which is available in a colorized version. To summarize that review, would an antique dealer ruin a valuable, antique, mahogany, piece of furniture by painting it a bright red ?  "
20,dvd,"This is one of my all time favorite tv shows. Although same in concept and scope than Bewitched, this shows superior cast and performances tower over Bewitched. I believe this show was much more funnier than Bewitched. Barbara Eden stars as Jeannie and Larry Hagman stars as Cap.(later Maj.) Anthony Nelson. And Bill Daily stars as Roger Healy, Maj. Nelsons best friend.  This dvd set covers the entire 1st season (30 episodes) of the series. Since this series 1st season was shot in black and white, this is the preference for me over the alternative colorized dvd set. As far as the video and audio go, the video looks fantastic. Episodes are clean and sharp with no compression. No dirt or scratches noticeable. Audio is in clean 2.0 mono sound. All episodes are complete and uncut. The pilot episode includes a audio commentary with Larry Hagman, Barbara Eden, and Bill Daily. It's nice and pleasant but not very informative. This is the main problem I have about this set. NO INFORMATION!! To me this keeps this set from getting 5 stars. The 4 dvds come in 2 seperate cases covering all 30 episodes. On the back of the cases you get episode #, title of each episode, and small description of each one. I think there should be more info than this, so I had hoped when I played the dvds, got to the main menu, and selected an episode, I would get a small amount of trivia, some more details such as  production date, 1st broadcast date, and cast listing with special guest stars. No such luck. I had hoped for much more info about each episode. You get a 14 minute featurette with new interviews with Sidney Sheldon, Larry Hagmen, Barbara Eden, and Bill Daily, which is a nice (but short) special feature. It's nice to see them together and still very good friends. They were the backbone of this great show (along with the late Hayden Roarke). Hayden Roarke was wonderful as Dr. Alfred Bellows. I would have loved for him to have been there too. In closing this is still a great set to have, and I intend to have all 5 seasons of this great show. I highly recommend the b+w dvd version of this classic show"
21,dvd,"I love i dream of jeannie, it's just so wholesome and entertaining at the same time. The only thing I wish they've included in the DVD is English subtitles. Sometimes if you've missed what the characters are saying at least you can always check the subtitles. But other than that I'm very glad they've put the series out on DVD."
22,dvd,"I'm waiting for the release of Season 3 - the best one! This is where Jeannie's evil dark-haired sister shows up for the first time. So silly, so much fun, sweet memories .."
23,dvd,"Finally, another of my favorite sitcoms is released on DVD!I've enjoyed watching re-run after re-run of this ""gem"" ofa series for years. For quite awhile the first season wasnot even a part of the syndicated episodes.Barbara Eden is fantastic as Jeannie. Poor Tony Nelsondidn't realize how lucky he really was!Larry Hagman played the part of Anthony Nelson with greatcomedic timing. Larry and Barbara together made a fantasticteam!I love the interviews with Barbara, Larry and Bill Daily.Even today, the three of them come across as best friends.It's no wonder they were so good together in the series!I Dream Of Jeannie will always be one of the funniest showsever to grace our TV screens!I'm not thrilled about the movie version soon to be released-I'll stick with what is best-THE ORIGINAL!Now I will wait for one more of my favorite shows-THE PATTYDUKE SHOW"
24,dvd,Wonderful shows/episodes.  My favorite sitcom.  I wish that they played I dream of Jeannie on the television at prime time instead of the junk they have now. You do not have to monitor this program.  It is one that almost any age can enjoy.
25,dvd,"As a young White boy growing up on the Navajo reservation was very wonderful, this movie brought back many wonderful memories.  The Navajo friends I had, all rode mustangs so therefore our weekends were spent riding through the bueatiful high deserts of Northern Arizona.  This movie is a great movie, it has all the emotions a person may feel in the 1880's.  Some what, as I felt when we moved to Northern Arizona in 1960.  The people were wonderful to grow up with.  This movie is a great movie, the only problem I had with the DVD is that to see the Bonus Features you have to have a special computer.  I would have been happy to spend the extra money on the movie, if they could have just put it on the DVD.  I would very much like to see the extra parts that have been left out, unless you have a computer that will read these extra parts.  Other wise I would have given this movie a 5 star rating"
26,dvd,"This is one of the most boring movies I have ever seen.  I knew from the very beginning of the movie that there was no way I was going to be able to stay awake through the whole thing.  I was right; I fell asleep about fifteen minutes into it.  Recently, I was offered the chance to watch it again.  I thought, ""OK, I didn't see the whole thing, it might have gotten better, so I'll give it another chance."" ... Bad mistake.  This little tale about a horse race across a vast desert did nothing to hold my interest for very long.  Hidalgo is the name of the horse.  So what?  That's about as boring as this movie.  So why the 1-star markup? Cause the main character is played by Viggo Mortensen, of Aragorn fame in the smash movie series The Lord of the Rings- and I do like Viggo.  I did not, however, like this movie.  It's kind of fitting it should be set in a desert- cause that's exactly where this movie should be buried, never to bore another wave of audiences again.  If you find yourself overworked and in need of a nice long nap, watch Hidalgo; you'll be out in no time"
27,dvd,"Love this movie, caught some of it on TV one week so then did a search on Amazon and brought the movie. Family entertainment Loosly based on the real life Frank T Hopkins who did more to save the wild Mustang than any other"
